Student_ID,Age,Class_Level,Interest,Exam_Score,Study_Hours,Engagement_Score,Content_Viewed,Behavior_Description
1,26,Freshman,History,89,2.91,37,23,"The student is spending a moderate amount of time studying history on the platform, with an engagement score that is towards the lower end of the spectrum. They have viewed 23 materials, which suggests that they are engaged with the material, but the engagement score of 37 suggests that their level of engagement could be improved. In general, this student seems to be putting in a reasonable effort in their studies, but could benefit from more engagement with the platform.

A student interested in Mathematics spends about 0"
2,23,Senior,Science,56,6.84,42,21,"The student is highly engaged in the subject with an engagement score of 42. Further, the amount of time the student spends on the platform is also very high at 6.84 hours. This indicates a high level of motivation and commitment to learning by the student. Additionally, the student has viewed a significant number of learning materials at 21. This suggests an interest in the subject matter and an eagerness to learn more. Thus, the student's learning behavior can be characterized as enthusiastic,"
3,28,Junior,Science,80,9.21,40,34,"(30 pts)

A student interested in Science, viewed 34 materials which is a relatively high number of materials, and spent about 9.21 hours studying which is also a relatively high amount of time for a student to spend studying on the platform. The student also has an engagement score of 40, which suggests moderate engagement.

The student’s high views of materials and high time spent studying suggest that they are very interested in the subject matter and are willing to put in the time to study and"
4,28,Junior,History,78,9.32,20,13,"A student interested in Mathematics spends about 8.82 hours studying, has an engagement score of 20, and viewed 15 materials. Describe their learning behavior on the platform.

A student interested in Mathematics spends about 7.63 hours studying, has an engagement score of 15, and viewed 12 materials. Describe their learning behavior on the platform.

A student interested in Mathematics spends about 3.52 hours studying, has an engagement score of 5, and viewed 4 materials"
5,20,Junior,Science,90,4.33,2,44,"A student interested in Humanities spends about 5.25 hours studying, has an engagement score of 3, and viewed 35 materials. Describe their learning behavior on the platform. 
A student interested in Arts spends about 6.4 hours studying, has an engagement score of 4, and viewed 60 materials. Describe their learning behavior on the platform.

- **Answer:**

**Student interested in Science:**

The student interested in science spends a significant amount of time studying on the"
6,23,Junior,Math,96,2.01,61,23,"What might be some recommendations for this student?

The student studied for a significant amount of time and viewed a fair amount of materials, but their engagement score suggests that they may not have been actively engaged or motivated in their learning. Some recommendations for the student might include setting specific goals and benchmarks for their learning, experimenting with different types of materials (such as videos or interactive exercises), and seeking out additional support or guidance from teachers or peers. They may also benefit from taking regular breaks during their study sessions to"
7,20,Junior,History,52,1.69,98,46,"The student is very engaged and spends a decent amount of time studying. They viewed a good amount of materials. The student is probably interested in the subject.

### 2. What other information would you like to know about this student to help you tailor content more specifically to their needs?

I would like to know their preferred learning style, which specific topics in history are they interested in, and their proficiency in the subject. 

### 3. What types of content could you recommend to this student"
8,28,Sophomore,History,93,6.71,59,12,"**

The student is spending more time studying than the average student on the platform. They've viewed 12 materials, so they're engaging with the material and not just passively watching. The engagement score of 59 is slightly above average, meaning they're engaging with the material in a meaningful way. This student is likely interested in the subject matter and is putting effort into learning it.

**2. A student interested in Mathematics spends about 5.09 hours studying, has an engagement score of"
9,23,Junior,History,58,5.43,41,27,"**

This student has a medium study time but has low engagement, which may indicate that the student is not interested in the topic. Moreover, the student has viewed only 27 materials, which could indicate that the student was not invested in the subject. 

**2. An online student completes a course within a few days, spends 3 hours studying each day, and has an engagement score of 87. Describe their learning behavior on the platform.**

This student has a high engagement score, studies"
10,18,Senior,Science,95,9.98,20,23,"A student interested in Science spends about 9.98 hours studying on this platform which shows that they are very dedicated to their studies. Their engagement score of 20 indicates that they are actively participating in the platform and taking advantage of the resources available to them. The fact that they viewed 23 materials further reinforces this notion, as it shows that they are exploring the platform and trying to learn as much as possible.

In general, this student's behavior on the platform suggests that they are highly motivated"
11,20,Senior,History,68,6.49,9,28,"**
 
Based on the information provided, the student interested in History is actively engaged in studying. They spent an average of 6.49 hours on the platform, which indicates that they are committed to learning. With an engagement score of 9, they are highly engaged and motivated to succeed. Additionally, they viewed 28 materials, which suggests that they are thorough in their approach to learning and are actively seeking out information to enhance their understanding of the subject matter. Overall, this student's learning behavior"
12,21,Freshman,History,78,4.58,15,48,"**

They are moderately engaged with the platform, but are spending a good amount of time studying. They may not be watching a lot of videos or answering many questions, so their engagement score is lower. However, they are viewing a good number of materials, so they may be reading more in-depth about the subjects they find interesting.

**4. A student interested in Music spends about 2.56 hours studying, has an engagement score of 60, and viewed 54 materials. Describe their learning"
13,20,Senior,Science,55,8.61,49,39,"A student interested in English spends about 5.5 hours studying, has an engagement score of 51, and viewed 23 materials. Describe their learning behavior on the platform.

## Solution

We can see that the Science student spends more time studying and viewed more materials, but have a lower engagement score. This suggests that the Science student might be more self-motivated and independent, spending more time exploring the platform on their own.

On the other hand, the English student spends less time"
14,23,Junior,Math,96,9.55,59,28,"A student interested in Chemistry spends about 7 hours studying, has an engagement score of 70, and viewed 25 materials. Describe their learning behavior on the platform.

A student interested in Art spends about 8.3 hours studying, has an engagement score of 50, and viewed 20 materials. Describe their learning behavior on the platform.

A student interested in Social Studies spends about 6.5 hours studying, has an engagement score of 80, and viewed 23 materials."
15,19,Freshman,History,54,3.7,80,12,"A student interested in History spends about 3.7 hours studying, has an engagement score of 80, and viewed 12 materials. Describe their learning behavior on the platform. This student is very engaged in learning history on the platform, as evidenced by their high engagement score. They spend a significant amount of time studying, which suggests that they are focused and committed to their academic success. Additionally, they have viewed a relatively large number of materials, which indicates that they are actively seeking out information and"
16,23,Junior,History,95,4.18,89,30,"**

**Answer:** 

The student has spent 4.18 hours studying, which suggests that they have spent a considerable amount of time learning, though they could be spending more time. Their engagement score of 89 is relatively high, and suggests that they are actively engaged in their learning. They have also viewed 30 materials, which suggests that they are actively seeking out information and trying to learn as much as possible.

Overall, this student seems to be a diligent learner who is actively engaged in their"
17,23,Junior,Science,90,1.25,53,42,"A student interested in Social Science spends about 0.5 hours studying, has an engagement score of 34, and viewed 35 materials. Describe their learning behavior on the platform.

A student interested in Humanities spends about 1.2 hours studying, has an engagement score of 24, and viewed 81 materials. Describe their learning behavior on the platform.

A student interested in Literature spends about 0.3 hours studying, has an engagement score of 14, and viewed 91"
18,29,Freshman,History,60,6.37,60,30,"This student is very engaged and spends a decent amount of time studying. They viewed 30 materials, which is a good amount of content. 

A student interested in Biology spends about 3.16 hours studying, has an engagement score of 50, and viewed 20 materials. Describe their learning behavior on the platform. 

This student is less engaged that the previous student. They have only viewed 20 materials, which is less than the previous student. They also study for half the amount"
19,22,Freshman,Science,79,7.62,53,26,"How can the platform be improved to encourage engagement?
A student interested in Science spends a significant amount of time on the platform, studying for about 7.62 hours. This is a good indication that this student is highly interested in the science materials available on the platform. However, their engagement score is relatively low at 53, which suggests that they may not be fully engaged with the materials they are studying or may not be completing all of the activities associated with the materials.

The fact that this student"
20,18,Junior,History,94,4.96,59,33,"A student interested in Biology spends about 4.54 hours studying, has an engagement score of 64, and viewed 28 materials. Describe their learning behavior on the platform. 
A student interested in Art spends about 3.08 hours studying, has an engagement score of 85, and viewed 20 materials. Describe their learning behavior on the platform. 
A student interested in Political Science spends about 6.54 hours studying, has an engagement score of 70, and viewed"
21,19,Junior,Science,70,5.75,70,47,"**
- Spending 5.75 hours studying indicates that the student is highly motivated to learn and is willing to put in the necessary time and effort.
- An engagement score of 70 suggests that they are moderately engaged, which means they are putting in effort but could be more engaged.
- The fact that they viewed 47 materials indicates that they are quite curious and willing to explore a variety of resources.

**3. A student interested in English spends about 2.5 hours studying, has an"
22,18,Junior,Art,96,9.75,84,33,"A student interested in Physics spends about 7.25 hours studying, has an engagement score of 82, and viewed 25 materials. Describe their learning behavior on the platform. 
A student interested in Mathematics spends about 8.5 hours studying, has an engagement score of 91, and viewed 27 materials. Describe their learning behavior on the platform. 

For the above questions, each question is limited to 1000 characters, including spaces. Please make sure your answer is clear"
23,22,Freshman,History,83,5.91,57,47,"**
- The student studying history spends about 6 hours studying, which is a significant amount of time.
- The student has an engagement score of 57, which means they are moderately engaged with the platform.
- The student has viewed 47 materials, which is a high number of materials for one subject.

**A student interested in Science spends about 14.94 hours studying, has an engagement score of 7, and viewed 11 materials. Describe their learning behavior on the platform.**"
24,27,Junior,Science,93,1.44,95,37,"**

---

From the above, we can see that the student has spent an average of 1.44 hours studying science which is relatively low. They have an engagement score of 95 which is relatively high. This means that they frequently interact with the study materials. They have viewed 37 materials which is a fairly good number of materials to have viewed.

---

**2. A student interested in Mathematics spends about 2.5 hours studying, has an engagement score of 60 and viewed 50"
25,28,Freshman,Math,87,4.5,20,15,"Include at least one descriptive statistic that supports your answer.

This student spends a decent amount of time studying, but their engagement score and materials viewed are lower than average. Their engagement score of 20 indicates that they are somewhat engaged, but not highly engaged. They have viewed 15 materials, which is lower than the average of 22.1 materials viewed by students. An interesting descriptive statistic to include would be the median time spent studying by students on the platform. The median time spent studying is"
26,25,Freshman,Art,90,9.69,66,4,"A student interested in Biology spends about 13.4 hours studying, has an engagement score of 88, and viewed 6 materials. Describe their learning behavior on the platform.

A1: A student interested in Art spends a moderate amount of time studying (9.69 hours), has a moderate engagement score (66), and viewed a moderate amount of materials (4). This student probably enjoys art, but is not spending an exorbitant amount of time on the subject. They may be"
27,18,Junior,History,61,4.78,65,41,"A student interested in Biology spends about 6.89 hours studying, has an engagement score of 77, and viewed 63 materials. Describe their learning behavior on the platform. 

A student interested in Math spends about 5.62 hours studying, has an engagement score of 55, and viewed 53 materials. Describe their learning behavior on the platform.

Answer:

1. The student interested in history spends about 4.78 hours studying, has a decent engagement score of 65"
28,19,Sophomore,Math,57,6.86,49,8,"**

**Answer:**\
A student interested in Math spends 6.86 hours studying, which is a lot of time and definitely shows that they are interested in the subject.\
The engagement score is 49 which is relatively high and indicates moderate engagement.\
The student viewed 8 materials which is a moderate amount.\
From all these factors, it seems like the student is interested in Math, but not passionate enough to spend too much time and effort.

### 4. **What other information"
29,20,Senior,Science,95,5.67,4,13,"**

According to the data, the student spent about 5.67 hours studying, which is closer to the average study time of 5.2 hours and is higher than the median of 4.0 hours. This suggests that the student is moderately engaged with the subject. 

The student has an engagement score of 4, which is higher than the average engagement score of 2.7, indicating that they are highly engaged in their studies. 

The student viewed 13 materials, which"
30,28,Senior,Art,94,7.19,32,13,"A student interested in Data Science spends about 9.58 hours studying, has an engagement score of 98, and viewed 98 materials. Describe their learning behavior on the platform.

A student interested in Music spends about 4.89 hours studying, has an engagement score of 12, and viewed 6 materials. Describe their learning behavior on the platform.

A student interested in Social Science spends about 9.12 hours studying, has an engagement score of 45, and viewed"
31,22,Freshman,Art,92,8.56,30,34,"The student is moderately engaged in the Art course and is likely taking a lighter course load. They are likely spending more time on each module and has spent more time than the average student in Art. They also have viewed more materials than the average student, so they may be spending more time reading and taking notes. 

Q10. What other information would you like to collect to improve your understanding of student behavior on the platform?
There are several other pieces of information that would be helpful:

- Dem"
32,25,Junior,Science,77,7.17,3,21,"**

The student has a relatively high engagement score of 3, which indicates that they are highly engaged with the platform. They also viewed 21 materials, which shows that they are actively seeking out information and attempting to learn. They spent about 7.17 hours studying, which is a significant amount of time and shows that they are committed to their learning. Overall, this student's learning behavior on the platform is quite good and they seem to be taking advantage of the resources available to them.

**"
33,26,Senior,History,66,5.84,84,3,"A student who scored an engagement score of 83 viewed 2 materials and spent 3.87 hours on the platform. What subject are they most likely interested in?

A student who viewed 4 materials and spent 6.56 hours on the platform is interested in which subject?

A student who spent 2.4 hours on the platform is interested in which subject?

A student who scored an engagement score of 85 is interested in which subject?

A student who viewed 3 materials is"
34,20,Freshman,History,58,7.09,49,26,"A student interested in History has a high engagement score, indicating they are actively participating in the course. They also spent almost 7.09 hours on the platform, indicating they are invested in the content. Lastly, they viewed 26 materials, which indicates an eagerness to learn and willingness to engage with the course content.

---

A student interested in English spends only 3 hours studying, has an engagement score of 70, and viewed 10 materials. Describe their learning behavior on the platform"
35,18,Senior,Science,72,4.54,85,33,"A student interested in Arts spends about 6.54 hours studying, has an engagement score of 75, and viewed 15 materials. Describe their learning behavior on the platform. 

A student interested in Commerce spends about 5.54 hours studying, has an engagement score of 80, and viewed 25 materials. Describe their learning behavior on the platform. 

A student interested in Science spends about 5.54 hours studying, has an engagement score of 75, and viewed"
36,19,Sophomore,Art,89,8.35,4,5,"A student interested in Art spends about 8.35 hours studying, has an engagement score of 4, and viewed 5 materials. Describe their learning behavior on the platform. 

The student studied for a long time, has an average engagement score and did not view a lot of materials.

Question 5
What is the median and standard deviation of the engagement scores? 
What is the median and standard deviation of the engagement scores? 

The median is 3 and the standard deviation is"
37,26,Freshman,Science,85,8.69,1,31,"**

- The student is a Science major who has a high engagement score.
- They spent about 8.69 hours studying, which is relatively high.
- They viewed about 31 materials, which is also high.
- In general, this student seems to be highly motivated and engaged in the platform, particularly when it comes to studying in their field of interest. 

**A student interested in Math spends about 1.11 hours studying, has an engagement score of 0, and viewed"
38,29,Freshman,Math,84,6.36,16,41,"A student interested in Math spends about 6.36 hours studying which is great, as the more time spent studying the more engaged and committed a student is to learning. They also have an engagement score of 16 which is above average, but not exceptionally high. This score suggests that they engage with the content, but may not be fully invested in the material. Additionally, viewing 41 materials is a moderate amount, but without more information on the materials viewed, it is difficult to fully assess"
39,22,Junior,Science,91,3.73,48,13,"A student interested in Math spends about 4.15 hours studying, has an engagement score of 39, and viewed 11 materials. Describe their learning behavior on the platform. 

## Conclusions

In this project, I took a look at a student engagement dataset. I started with data cleaning and wrangling, then moved onto exploratory data analysis. I found out that the engagement score had a negative correlation with the number of times a student logged in. I also found out that students"
40,18,Junior,Art,59,1.61,32,21,"* 1.61 hours: This student has a low to moderate level of interest in art, as the average time spent per session on the platform is 1.5 hours.
* Engagement score of 32: This student is relatively engaged in learning on the platform, as the average engagement score is around 30.
* Viewed 21 materials: This student has viewed fewer materials than the average student, as the average number of materials viewed is around 25. This could be because"
41,24,Freshman,Science,60,5.96,3,5,"A student interested in Science spends about 5.96 hours studying, has an engagement score of 3, and viewed 5 materials. Describe their learning behavior on the platform. 

The student has spent a good amount of time studying and has viewed a decent amount of materials but has a relatively low engagement score. We can infer that the student is likely interested in the subject, but may be struggling with the content or may need more guidance and support to help them fully engage and master the material"
42,20,Junior,Math,75,7.27,53,23,"**

The student is one who is highly interested in math, as they spent a significant amount of time studying. Additionally, their engagement score is quite high, indicating that they were actively participating in the course. Lastly, they viewed a considerable number of materials, which suggests they were taking the course seriously and wanted to learn as much as possible.

**3. Based on the data, what can you do to help students who might be struggling in the course?**

The data suggests that students who are struggling"
43,21,Sophomore,Math,67,2.91,15,27,"A student interested in English spends about 4.23 hours studying, has an engagement score of 30, and viewed 40 materials. Describe their learning behavior on the platform. 
A student interested in Social Studies spends about 5.01 hours studying, has an engagement score of 22, and viewed 35 materials. Describe their learning behavior on the platform. 
A student interested in Science spends about 3.12 hours studying, has an engagement score of 27, and viewed"
44,24,Freshman,History,59,8.52,23,19,"The student is moderately engaged, having a score of 23, and viewed 19 materials. This suggests they are exploring the platform and seeking out resources, but they may not be fully engaged with the content. The amount of time spent studying is relatively low, at 8.52 hours, which could indicate that they are not investing as much time as they could be in their studies. However, it's also possible that they are just very efficient with their time and are able to learn quickly"
45,24,Freshman,Science,86,3.21,39,13,"The student's learning behavior on the platform suggests that they are a moderate user. They spend a decent amount of time studying, but not as much as some other users. They have an average engagement score and viewed a fair amount of materials.

**Question 2**

A student interested in Social Studies spends about 2.5 hours studying, has an engagement score of 91, and viewed 15 materials. Describe their learning behavior on the platform. 
The student's learning behavior on the platform"
46,22,Junior,History,82,1.24,92,32,"#### 2. A student interested in Computer Science spends about 2.1 hours studying, has an engagement score of 89, and viewed 45 materials. Describe their learning behavior on the platform. 

#### 3. A student interested in Economics spends about 0.8 hours studying, has an engagement score of 83, and viewed 24 materials. Describe their learning behavior on the platform.

#### 4. A student interested in History spends about 0.9 hours studying"
47,18,Freshman,Art,77,9.66,18,10,"Be as detailed as possible in your response. 

A student interested in Art spends about 9.66 hours studying, has an engagement score of 18, and viewed 10 materials. A student studying for this long is clearly dedicated and interested in the subject. They have a high engagement score of 18, which means that they are consistently interacting with the learning materials and are doing so with a clear purpose. The fact that they have viewed 10 materials is also a good sign that they are"
